idMarca,version,marca
1983,"FAIRMONT ELITE STD","FORD"
1983,"FAIRMONT ELITE STD A/AC","FORD"
1983,"FAIRMONT SD STD EQ","FORD"
1983,"FAIRMONT VAG AUT CA AC","FORD"
1983,"FAIRMONT VAG STD EQ","FORD"
1983,"GRAND MARQUIS SD AUT EQ 8 CIL","FORD"
1983,"GRAND MARQUIS SD AUT NORMAL 8 CIL","FORD"
1983,"GRAND MARQUIS VAG AUT A/AC 8 CIL","FORD"
1983,"GRAND MARQUIS VAG AUT NORMAL","FORD"
1983,"GREMLIN STD","VAM RAMBLER"
1983,"JEEP CJ-7 CAPOTA LONA O METALICA","VAM RAMBLER"
1983,"JEEP CJ7 CAPOTA PLASTICO","VAM RAMBLER"
1983,"JEEP J 164 WAGONEER ALPINA AUT","VAM RAMBLER"
1983,"JEEP J 164 WAGONEER ALPINA STD","VAM RAMBLER"
1983,"JEEP RENEGADO","VAM RAMBLER"
1983,"JEEP WAGONEER AUT","VAM RAMBLER"
1983,"JEEP WAGONEER STD","VAM RAMBLER"
1983,"MONTECARLO LANDAU SD AUT 8 CIL","CHEVROLET"
1983,"MUSTANG FAST BACK AUT A/AC 8 CIL","FORD"
1983,"MUSTANG FAST BACK STD 8 CIL","FORD"
1983,"MUSTANG HT AUT 8 CIL","FORD"
1983,"MUSTANG HT AUT A/AC E/E 8 CIL","FORD"
1983,"MUSTANG HT STD 8 CIL","FORD"
1983,"MUSTANG HT STD A/AC 8 CIL","FORD"
1983,"R-12 ROUTIER 1300 SD","RENAULT"
1983,"R-12 ROUTIER 1300 VAG AUSTERO","RENAULT"
1983,"R-12 TL STD","RENAULT"
1983,"R-18 SD AUSTERO 1.6L","RENAULT"
1983,"R-5 MIRAGE TX","RENAULT"
1983,"R18 1600 GUAYIN CUSTOM AUST","RENAULT"
1983,"R18 1600 SD AUT","RENAULT"
1983,"R18 GTX 2 LITROS GUAYIN AUT","RENAULT"
1983,"R18 GTX 2 LITROS GUAYIN STD","RENAULT"
1983,"R18 GTX AUT 2 LITROS AAC","RENAULT"
1983,"R18 GTX STD 2 LITROS AAC","RENAULT"
1983,"R18 TX 2 LITROS AUT","RENAULT"
1983,"R18 TX 2 LITROS STD","RENAULT"
1983,"R5 CUSTOM","RENAULT"
1983,"SAKURA HT 1800 AUT LUJO","NISSAN"
1983,"SAKURA HT AUT TIPICO","NISSAN"
1983,"SD CLASICO","VOLKSWAGEN"
1983,"VOLARE K AUSTERO STD","CHRYSLER"
1984,"1600 VAG AUSTERA","NISSAN"
1984,"1600 VAG STD","NISSAN"
1984,"1800 SD TIPICO AUT","NISSAN"
1984,"ALLIANCE 2 Y 4 PTS AUST STD","RENAULT"
1984,"ALLIANCE DL STD","RENAULT"
1984,"ALLIANCE LS STD","RENAULT"
1984,"ATLANTIC C","VOLKSWAGEN"
1984,"ATLANTIC GL SD AUT 4 CIL","VOLKSWAGEN"
1984,"ATLANTIC GL SD STD 4 CIL","VOLKSWAGEN"
1984,"ATLANTIC GLS AUT 4 CIL","VOLKSWAGEN"
1984,"ATLANTIC GLS STD 4 CIL","VOLKSWAGEN"
1984,"CARIBE C STD 4 CIL","VOLKSWAGEN"
1984,"CARIBE GL AUT 4 CIL","VOLKSWAGEN"
1984,"CARIBE GL STD 4 CIL","VOLKSWAGEN"
1984,"CARIBE GT 4 CIL","VOLKSWAGEN"
1984,"CARIBE STD 4 CIL","VOLKSWAGEN"
1984,"CELEBRITY STD CUSTOM FI","CHEVROLET"
1984,"CELEBRITY TIPICO AUT 6 CIL","CHEVROLET"
1984,"CENTURY AUT EQ A/AC 6 CIL","CHEVROLET"
